term	module
Definition_ownedUsage	SysML/Systems/DefinitionAndUsage
Definition_ownedUseCase	SysML/Systems/DefinitionAndUsage
Definition_ownedVerificationCase	SysML/Systems/DefinitionAndUsage
Definition_ownedView	SysML/Systems/DefinitionAndUsage
Definition_ownedViewpoint	SysML/Systems/DefinitionAndUsage
Definition_usage	SysML/Systems/DefinitionAndUsage
Definition_variant	SysML/Systems/DefinitionAndUsage
Definition_variantMembership	SysML/Systems/DefinitionAndUsage
Dependency	KerML/Root/Dependencies
Dependency_client	KerML/Root/Dependencies
Dependency_supplier	KerML/Root/Dependencies
Differencing	KerML/Core/Types
Differencing_differencingType	KerML/Core/Types
Differencing_typeDifferenced	KerML/Core/Types
Disjoining	KerML/Core/Types
Disjoining_disjoiningType	KerML/Core/Types
Disjoining_owningType	KerML/Core/Types
Disjoining_typeDisjoined	KerML/Core/Types
Documentation	KerML/Root/Annotations
Documentation_documentedElement	KerML/Root/Annotations
Element	KerML/Root/Elements
ElementFilterMembership	KerML/Kernel/Packages
ElementFilterMembership_condition	KerML/Kernel/Packages
Element_aliasIds	KerML/Root/Elements
Element_declaredName	KerML/Root/Elements
Element_declaredShortName	KerML/Root/Elements
Element_documentation	KerML/Root/Elements
Element_elementId	KerML/Root/Elements
Element_isImpliedIncluded	KerML/Root/Elements
Element_isLibraryElement	KerML/Root/Elements
Element_name	KerML/Root/Elements
Element_ownedAnnotation	KerML/Root/Elements
Element_ownedElement	KerML/Root/Elements
Element_ownedRelationship	KerML/Root/Elements
Element_owner	KerML/Root/Elements
Element_owningMembership	KerML/Root/Elements
Element_owningNamespace	KerML/Root/Elements
Element_owningRelationship	KerML/Root/Elements
Element_qualifiedName	KerML/Root/Elements
Element_shortName	KerML/Root/Elements
Element_textualRepresentation	KerML/Root/Elements
EndFeatureMembership	KerML/Core/Features
EnumerationDefinition	SysML/Systems/Enumerations
EnumerationDefinition_enumeratedValue	SysML/Systems/Enumerations
EnumerationUsage	SysML/Systems/Enumerations
EnumerationUsage_enumerationDefinition	SysML/Systems/Enumerations
EventOccurrenceUsage	SysML/Systems/Occurrences
EventOccurrenceUsage_eventOccurrence	SysML/Systems/Occurrences
ExhibitStateUsage	SysML/Systems/States
ExhibitStateUsage_exhibitedState	SysML/Systems/States
Expose	SysML/Systems/Views
Expression	KerML/Kernel/Functions
Expression_function	KerML/Kernel/Functions
Expression_isModelLevelEvaluable	KerML/Kernel/Functions
Expression_result	KerML/Kernel/Functions
Feature	KerML/Core/Features
FeatureChainExpression	KerML/Kernel/Expressions
FeatureChainExpression_targetFeature	KerML/Kernel/Expressions
FeatureChaining	KerML/Core/Features
FeatureChaining_chainingFeature	KerML/Core/Features
FeatureChaining_featureChained	KerML/Core/Features
FeatureDirectionKind	KerML/Core/Types
FeatureInverting	KerML/Core/Features
FeatureInverting_featureInverted	KerML/Core/Features
